'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:13.402',-61.068,1093.788,14.703,64.980,-62.387,3.507,-11.745,1.938,3.438,-11.749,1.790,-0.405,0.178,-0.779,53.399
'0:13.406',-58.918,1068.856,14.662,63.037,-62.417,3.566,-11.915,1.924,3.514,-11.904,1.907,-0.387,0.186,-0.756,53.403
'0:13.410',-61.878,1031.493,14.732,60.628,-62.291,3.626,-12.085,1.885,3.590,-12.138,1.907,-0.403,0.190,-0.802,53.407
'0:13.414',-50.273,989.752,14.907,58.478,-62.387,3.685,-12.231,1.884,3.629,-12.256,1.867,-0.412,0.193,-0.758,53.411
'0:13.418',-50.273,945.044,15.174,56.046,-62.700,3.746,-12.329,1.871,3.591,-12.412,1.787,-0.419,0.208,-0.751,53.415
'0:13.422',-61.068,931.872,15.375,53.545,-62.756,3.757,-12.389,1.870,3.706,-12.414,1.789,-0.410,0.206,-0.733,53.419
'0:13.426',-57.555,943.596,15.633,50.975,-63.183,3.757,-12.413,1.857,3.706,-12.452,1.828,-0.410,0.206,-0.764,53.423
'0:13.430',-60.515,939.923,15.626,48.573,-63.578,3.732,-12.424,1.857,3.707,-12.492,1.749,-0.414,0.206,-0.764,53.426
'0:13.434',-50.550,899.630,16.221,46.614,-63.966,3.696,-12.436,1.856,3.706,-12.490,1.867,-0.429,0.209,-0.731,53.430
'0:13.438',-66.732,879.112,16.291,44.985,-64.796,3.646,-12.483,1.818,3.668,-12.530,1.787,-0.419,0.220,-0.783,53.434
'0:13.441',-60.792,909.906,16.944,43.907,-65.632,3.597,-12.482,1.817,3.475,-12.486,1.863,-0.429,0.218,-0.749,53.438
'0:13.445',-57.300,943.596,17.402,42.882,-66.362,3.585,-12.495,1.781,3.552,-12.528,1.786,-0.435,0.229,-0.714,53.442
'0:13.449',-44.886,954.579,18.083,42.216,-67.502,3.549,-12.421,1.818,3.590,-12.450,1.826,-0.433,0.236,-0.708,53.446
'0:13.453',-35.176,950.906,19.261,41.811,-68.750,3.550,-12.264,1.845,3.552,-12.371,1.865,-0.433,0.236,-0.708,53.450
'0:13.457',-50.550,942.113,20.250,41.145,-70.268,3.528,-12.060,1.848,3.475,-12.060,1.827,-0.428,0.250,-0.737,53.454
'0:13.461',-43.544,995.614,20.896,40.946,-71.451,3.482,-11.818,1.852,3.398,-11.824,1.905,-0.450,0.238,-0.714,53.458
'0:13.465',-40.308,1007.338,21.985,40.640,-72.908,3.423,-11.613,1.807,3.438,-11.633,1.791,-0.426,0.250,-0.687,53.462
'0:13.469',-29.257,1062.287,22.682,40.434,-74.322,3.389,-11.384,1.798,3.400,-11.322,1.753,-0.445,0.245,-0.716,53.465
'0:13.473',-19.824,1049.080,23.382,41.229,-75.801,3.366,-11.192,1.789,3.361,-11.204,1.793,-0.452,0.264,-0.682,53.469
'0:13.477',-19.015,1096.719,24.251,41.642,-77.710,3.356,-11.000,1.768,3.324,-10.973,1.677,-0.461,0.271,-0.691,53.473
'0:13.480',-27.085,1151.632,25.072,42.277,-79.150,3.309,-10.843,1.722,3.322,-10.930,1.872,-0.461,0.271,-0.691,53.477
'0:13.484',-22.507,1180.201,25.772,43.256,-80.855,3.311,-10.675,1.689,3.285,-10.660,1.757,-0.447,0.280,-0.659,53.481
'0:13.488',-27.638,1219.789,26.504,43.738,-82.360,3.276,-10.471,1.668,3.209,-10.428,1.640,-0.459,0.273,-0.701,53.485
'0:13.492',-35.176,1254.220,27.077,44.542,-83.774,3.217,-10.266,1.634,3.209,-10.349,1.719,-0.438,0.284,-0.676,53.489
'0:13.496',-35.176,1284.979,27.815,45.582,-85.340,3.207,-10.073,1.637,3.210,-10.040,1.604,-0.445,0.275,-0.708,53.493
'0:13.500',-28.171,1284.237,28.394,46.209,-86.649,3.160,-9.905,1.604,3.133,-9.959,1.682,-0.463,0.294,-0.662,53.497
'0:13.504',-23.869,1368.497,28.595,47.349,-88.163,3.125,-9.759,1.618,3.173,-9.769,1.528,-0.463,0.294,-0.662,53.501
'0:13.508',-58.109,1400.739,29.161,48.114,-89.267,3.101,-9.675,1.607,3.057,-9.689,1.565,-0.463,0.305,-0.647,53.505
'0:13.512',-78.848,1413.169,29.620,49.391,-90.407,3.066,-9.602,1.596,3.096,-9.651,1.527,-0.452,0.307,-0.628,53.508
'0:13.516',-81.276,1426.377,29.979,50.837,-91.842,3.041,-9.565,1.596,3.019,-9.612,1.487,-0.459,0.307,-0.666,53.512
'0:13.520',-48.122,1495.240,30.275,52.022,-92.495,3.017,-9.541,1.560,2.980,-9.610,1.565,-0.468,0.314,-0.622,53.516
'0:13.523',-14.160,1525.998,30.409,53.346,-93.121,2.981,-9.481,1.548,2.865,-9.532,1.485,-0.454,0.323,-0.674,53.520
'0:13.527',17.929,1556.051,30.708,54.807,-93.704,2.932,-9.456,1.512,2.904,-9.493,1.525,-0.463,0.319,-0.641,53.524
'0:13.531',2.300,1557.499,31.297,58.050,-95.113,2.884,-9.420,1.451,2.904,-9.455,1.447,-0.463,0.319,-0.641,53.528
'0:13.535',-27.085,1556.757,31.185,60.008,-95.409,2.848,-9.336,1.416,2.750,-9.336,1.446,-0.442,0.333,-0.570,53.532
'0:13.539',-72.652,1586.809,31.329,61.561,-96.101,2.788,-9.227,1.405,2.713,-9.299,1.328,-0.473,0.330,-0.582,53.536
'0:13.543',-74.547,1619.793,31.265,63.649,-96.240,2.741,-9.094,1.358,2.674,-9.065,1.329,-0.473,0.330,-0.582,53.540
'0:13.547',-33.835,1583.878,31.125,65.470,-96.540,2.706,-8.913,1.361,2.637,-8.989,1.212,-0.468,0.333,-0.568,53.544
'0:13.551',-5.792,1617.568,31.065,67.313,-96.723,2.647,-8.719,1.364,2.638,-8.757,1.175,-0.445,0.344,-0.590,53.548
'0:13.555',46.504,1636.638,30.670,69.187,-96.792,2.587,-8.562,1.341,2.560,-8.637,1.292,-0.445,0.333,-0.601,53.551
'0:13.559',85.066,1598.534,30.100,71.413,-96.688,2.565,-8.405,1.356,2.521,-8.520,1.292,-0.457,0.333,-0.601,53.555
'0:13.563',133.593,1615.379,29.636,73.433,-96.710,2.505,-8.284,1.333,2.406,-8.207,1.293,-0.461,0.346,-0.565,53.559
'0:13.566',128.993,1593.413,29.114,75.054,-96.192,2.482,-8.127,1.360,2.406,-8.168,1.293,-0.473,0.349,-0.570,53.563
'0:13.570',65.646,1637.344,28.474,77.028,-95.779,2.422,-8.006,1.349,2.368,-8.012,1.293,-0.452,0.360,-0.586,53.567
'0:13.574',-37.604,1629.292,28.063,78.627,-95.479,2.399,-7.836,1.376,2.366,-7.970,1.489,-0.466,0.348,-0.582,53.571
'0:13.578',-142.749,1597.051,27.357,80.210,-94.474,2.364,-7.715,1.402,2.252,-7.776,1.371,-0.443,0.358,-0.540,53.575
'0:13.582',-197.472,1590.482,26.259,81.686,-93.852,2.329,-7.581,1.416,2.291,-7.583,1.335,-0.443,0.358,-0.540,53.579
'0:13.586',-227.665,1632.965,25.549,83.438,-92.730,2.306,-7.448,1.466,2.251,-7.502,1.491,-0.450,0.346,-0.586,53.583
'0:13.590',-124.692,1602.913,24.827,84.884,-91.947,2.257,-7.374,1.504,2.253,-7.388,1.336,-0.463,0.355,-0.536,53.587
'0:13.594',-87.216,1583.137,23.789,87.117,-90.524,2.246,-7.276,1.566,2.175,-7.385,1.452,-0.464,0.358,-0.551,53.590
'0:13.598',-116.878,1572.154,22.879,88.777,-89.198,2.185,-7.251,1.577,2.098,-7.228,1.451,-0.450,0.365,-0.515,53.594
'0:13.602',-46.504,1574.344,21.870,89.825,-87.519,2.136,-7.224,1.650,2.058,-7.301,1.684,-0.463,0.360,-0.547,53.598
'0:13.605',-46.227,1593.413,21.052,91.538,-85.809,2.087,-7.258,1.685,1.982,-7.378,1.605,-0.464,0.364,-0.513,53.602
'0:13.609',-43.800,1602.913,20.149,90.575,-83.961,2.062,-7.293,1.732,1.904,-7.376,1.682,-0.464,0.364,-0.513,53.606
'0:13.613',-37.604,1594.861,19.337,93.986,-82.243,2.050,-7.316,1.768,1.980,-7.376,1.722,-0.450,0.371,-0.570,53.610
'0:13.617',-51.082,1556.757,18.570,94.032,-80.129,2.037,-7.363,1.815,1.903,-7.452,1.759,-0.463,0.365,-0.530,53.614
'0:13.621',-60.259,1537.723,17.918,95.508,-77.850,2.037,-7.374,1.863,1.941,-7.413,1.799,-0.464,0.379,-0.492,53.618
'0:13.625',-89.367,1520.136,17.007,96.289,-75.444,1.988,-7.372,1.911,1.825,-7.448,1.875,-0.456,0.369,-0.492,53.622
'0:13.629',-89.644,1508.412,16.183,97.000,-73.095,1.976,-7.347,1.936,1.825,-7.410,1.836,-0.454,0.383,-0.524,53.626
'0:13.633',-72.929,1494.498,15.337,97.428,-70.694,1.939,-7.370,1.947,1.825,-7.488,1.835,-0.454,0.383,-0.524,53.630
'0:13.637',-41.649,1480.584,14.468,96.939,-68.285,1.902,-7.370,1.934,1.825,-7.448,1.875,-0.468,0.372,-0.507,53.633
'0:13.641',-31.407,1486.446,13.685,96.296,-65.418,1.902,-7.381,1.958,1.825,-7.488,1.835,-0.449,0.385,-0.538,53.637
'0:13.645',-22.784,1468.118,12.635,95.585,-62.369,1.853,-7.380,1.945,1.787,-7.410,1.835,-0.470,0.371,-0.517,53.641
'0:13.648',-21.698,1452.757,11.638,94.453,-59.577,1.840,-7.416,1.945,1.710,-7.447,1.834,-0.463,0.387,-0.478,53.645
'0:13.652',-38.966,1408.049,10.712,93.275,-56.515,1.791,-7.451,1.931,1.671,-7.524,1.871,-0.468,0.385,-0.492,53.649
'0:13.656',-41.117,1419.773,9.653,89.802,-53.748,1.766,-7.474,1.942,1.595,-7.485,1.793,-0.459,0.395,-0.513,53.653
'0:13.660',-31.407,1356.031,8.879,89.320,-50.630,1.741,-7.546,1.929,1.594,-7.599,1.909,-0.459,0.395,-0.513,53.657
'0:13.664',-23.060,1363.376,8.189,86.176,-47.759,1.716,-7.593,1.964,1.595,-7.562,1.831,-0.470,0.390,-0.505,53.661
'0:13.668',-37.071,1313.548,7.469,83.652,-44.623,1.641,-7.700,1.961,1.517,-7.676,1.868,-0.442,0.397,-0.490,53.665
'0:13.672',-38.413,1332.582,6.562,80.248,-41.391,1.591,-7.770,1.971,1.402,-7.830,1.826,-0.459,0.390,-0.522,53.669
'0:13.676',-10.647,1280.600,5.792,76.592,-38.542,1.517,-7.876,1.992,1.363,-7.868,1.864,-0.470,0.394,-0.476,53.673
'0:13.680',-17.396,1252.737,5.394,72.821,-35.193,1.454,-8.008,1.965,1.324,-8.020,2.018,-0.470,0.406,-0.488,53.676
'0:13.684',-6.069,1227.840,4.666,68.644,-32.457,1.416,-8.138,1.986,1.208,-8.212,2.014,-0.470,0.404,-0.463,53.680
'0:13.688',-18.206,1224.168,4.500,64.544,-29.430,1.353,-8.269,1.983,1.208,-8.291,1.935,-0.456,0.404,-0.463,53.684
'0:13.691',-21.165,1232.219,3.857,59.878,-26.359,1.364,-8.377,2.018,1.131,-8.290,1.934,-0.464,0.401,-0.509,53.688
'0:13.695',3.641,1212.443,3.727,55.021,-23.440,1.338,-8.521,2.027,1.207,-8.639,2.011,-0.461,0.408,-0.473,53.692
'0:13.699',11.988,1148.701,3.510,50.561,-20.526,1.361,-8.628,2.086,1.168,-8.637,2.088,-0.457,0.413,-0.534,53.696
'0:13.703',25.211,1170.702,3.494,45.811,-17.934,1.372,-8.760,2.120,1.168,-8.870,2.086,-0.468,0.401,-0.488,53.700
'0:13.707',16.034,1116.495,3.513,41.359,-15.324,1.370,-8.928,2.128,1.169,-8.950,1.969,-0.468,0.415,-0.461,53.704
'0:13.711',28.448,1148.701,3.370,36.426,-12.757,1.357,-9.035,2.151,1.169,-9.104,2.007,-0.468,0.415,-0.461,53.708
'0:13.715',34.644,1097.425,2.982,31.316,-9.817,1.294,-9.191,2.123,1.170,-9.146,1.889,-0.461,0.410,-0.459,53.712
'0:13.719',42.458,1091.563,3.052,26.237,-7.347,1.255,-9.334,2.132,1.091,-9.413,2.042,-0.459,0.410,-0.507,53.715
'0:13.723',41.926,1121.615,3.176,21.364,-4.445,1.242,-9.466,2.129,1.129,-9.569,2.080,-0.471,0.406,-0.478,53.719
'0:13.727',34.111,1104.029,3.329,11.650,-0.157,1.253,-9.574,2.152,1.091,-9.646,2.079,-0.454,0.413,-0.532,53.723
'0:13.730',45.163,1056.425,3.472,6.770,2.170,1.276,-9.707,2.150,1.129,-9.725,2.040,-0.466,0.401,-0.492,53.727
'0:13.734',48.931,1102.545,3.545,1.843,4.041,1.300,-9.767,2.137,1.168,-9.804,1.962,-0.463,0.411,-0.473,53.731
'0:13.738',56.746,1073.976,3.504,-2.991,6.268,1.323,-9.828,2.148,1.167,-9.881,2.040,-0.463,0.411,-0.473,53.735
'0:13.742',58.087,1044.701,3.577,-7.825,8.273,1.348,-9.876,2.148,1.244,-9.920,2.079,-0.468,0.413,-0.480,53.739
'0:13.746',51.891,1092.304,3.851,-12.537,9.969,1.384,-9.901,2.184,1.282,-9.998,2.079,-0.464,0.418,-0.505,53.743
'0:13.750',46.227,1065.183,3.755,-16.706,12.066,1.383,-9.936,2.219,1.243,-10.074,2.156,-0.471,0.404,-0.503,53.747
'0:13.754',48.399,1033.683,3.749,-21.089,13.432,1.408,-9.971,2.292,1.320,-9.958,2.197,-0.452,0.413,-0.476,53.751
'0:13.758',39.499,1086.442,3.854,-24.937,15.102,1.419,-10.043,2.351,1.320,-10.074,2.236,-0.466,0.401,-0.513,53.755
'0:13.762',41.926,1053.494,3.876,-28.509,16.750,1.443,-10.077,2.436,1.319,-10.072,2.353,-0.466,0.401,-0.513,53.758
'0:13.766',36.539,1083.511,3.870,-31.461,18.173,1.516,-10.126,2.520,1.356,-10.108,2.509,-0.482,0.406,-0.478,53.762
'0:13.770',45.972,1065.183,3.950,-34.414,19.595,1.564,-10.185,2.605,1.432,-10.146,2.627,-0.482,0.418,-0.492,53.766
'0:13.773',46.781,1093.788,3.813,-36.456,20.878,1.625,-10.198,2.654,1.586,-10.148,2.630,-0.464,0.408,-0.473,53.770
'0:13.777',69.415,1094.494,3.679,-38.239,22.422,1.686,-10.257,2.751,1.623,-10.263,2.786,-0.473,0.402,-0.515,53.774
'0:13.781',57.278,1084.994,3.342,-39.692,23.910,1.746,-10.306,2.811,1.622,-10.261,2.864,-0.470,0.404,-0.478,53.778
'0:13.785',69.969,1121.615,2.836,-40.923,25.289,1.782,-10.414,2.858,1.699,-10.457,2.825,-0.464,0.406,-0.542,53.782
'0:13.789',78.593,1150.184,2.167,-42.109,27.002,1.830,-10.499,2.881,1.775,-10.534,2.943,-0.464,0.406,-0.542,53.786
'0:13.793',77.507,1119.426,1.719,-42.912,28.407,1.901,-10.668,2.891,1.776,-10.653,2.825,-0.478,0.401,-0.499,53.790
'0:13.797',84.257,1123.805,0.662,-43.761,29.995,1.961,-10.802,2.890,1.852,-10.886,2.863,-0.477,0.406,-0.490,53.794
'0:13.801',104.740,1149.443,-0.175,-44.304,31.600,2.057,-10.948,2.925,1.929,-10.964,2.942,-0.471,0.399,-0.476,53.798
'0:13.805',101.504,1173.633,-1.486,-44.717,33.688,2.130,-11.057,2.924,2.045,-11.084,2.865,-0.468,0.404,-0.526,53.801
'0:13.809',95.563,1198.530,-2.368,-45.398,35.732,2.202,-11.131,2.936,2.121,-11.162,2.904,-0.480,0.397,-0.488,53.805
'0:13.813',94.754,1219.047,-3.829,-45.850,37.433,2.251,-11.168,2.960,2.121,-11.161,2.944,-0.480,0.397,-0.551,53.809
'0:13.816',114.982,1227.840,-5.000,-45.811,39.890,2.264,-11.119,2.985,2.198,-11.046,2.946,-0.464,0.402,-0.551,53.813
'0:13.820',102.845,1243.237,-6.142,-45.957,42.030,2.240,-11.034,3.010,2.158,-11.043,3.062,-0.482,0.383,-0.526,53.817
'0:13.824',117.410,1252.737,-7.638,-45.995,44.079,2.229,-10.949,3.048,2.081,-10.925,3.101,-0.480,0.397,-0.494,53.821
'0:13.828',112.278,1258.599,-8.781,-45.941,46.015,2.218,-10.852,3.074,2.121,-10.889,2.985,-0.484,0.392,-0.503,53.825
'0:13.832',110.660,1268.134,-10.315,-45.697,47.681,2.206,-10.792,3.087,2.159,-10.812,2.986,-0.471,0.394,-0.536,53.829
'0:13.836',114.173,1269.582,-11.864,-45.628,49.420,2.218,-10.768,3.112,2.043,-10.808,3.062,-0.485,0.387,-0.515,53.833
'0:13.840',117.942,1257.151,-13.615,-45.000,51.195,2.231,-10.756,3.112,2.120,-10.808,3.103,-0.485,0.387,-0.515,53.837
'0:13.844',132.230,1242.496,-15.232,-44.786,52.861,2.256,-10.720,3.149,2.158,-10.732,3.104,-0.459,0.388,-0.513,53.840
'0:13.848',127.652,1291.583,-16.750,-44.610,54.388,2.268,-10.660,3.151,2.235,-10.692,3.184,-0.475,0.374,-0.547,53.844
'0:13.852',126.566,1307.686,-18.264,-44.618,56.145,2.282,-10.527,3.178,2.197,-10.459,3.185,-0.484,0.376,-0.517,53.848
'0:13.855',145.453,1296.703,-19.665,-44.128,57.546,2.247,-10.381,3.228,2.235,-10.421,3.147,-0.485,0.388,-0.532,53.852
'0:13.859',132.783,1276.927,-21.027,-44.228,59.059,2.237,-10.152,3.256,2.158,-10.107,3.265,-0.468,0.383,-0.507,53.856
'0:13.863',132.507,1326.014,-22.074,-43.914,60.264,2.216,-9.862,3.310,2.159,-9.760,3.111,-0.478,0.374,-0.555,53.860
'0:13.867',128.738,1331.876,-23.169,-43.838,61.717,2.170,-9.573,3.326,2.121,-9.604,3.151,-0.478,0.374,-0.555,53.864
'0:13.871',126.310,1322.341,-23.519,-43.325,62.369,2.100,-9.233,3.380,2.004,-9.209,3.387,-0.468,0.374,-0.524,53.868
'0:13.875',127.929,1359.704,-24.101,-42.851,62.809,2.018,-8.894,3.409,1.967,-8.979,3.193,-0.461,0.374,-0.590,53.872
'0:13.879',115.792,1361.893,-24.439,-42.025,63.491,1.973,-8.569,3.438,1.967,-8.629,3.235,-0.475,0.369,-0.549,53.876
'0:13.883',85.598,1411.721,-24.346,-41.206,63.291,1.903,-8.266,3.443,1.812,-8.233,3.469,-0.477,0.374,-0.555,53.880
'0:13.887',51.891,1456.394,-24.502,-40.235,62.883,1.832,-8.037,3.434,1.735,-8.038,3.431,-0.480,0.369,-0.553,53.883
'0:13.891',31.940,1453.463,-24.079,-39.049,62.295,1.736,-7.794,3.437,1.659,-7.767,3.353,-0.480,0.369,-0.553,53.887
'0:13.895',30.066,1464.481,-24.111,-37.741,61.482,1.677,-7.600,3.452,1.658,-7.687,3.471,-0.473,0.374,-0.528,53.891
'0:13.898',31.407,1495.981,-23.656,-36.326,60.960,1.606,-7.454,3.453,1.467,-7.453,3.353,-0.471,0.372,-0.534,53.895
'0:13.902',34.111,1536.981,-23.096,-34.865,60.007,1.533,-7.357,3.430,1.505,-7.452,3.431,-0.477,0.364,-0.572,53.899
'0:13.906',19.270,1605.844,-22.599,-33.121,59.368,1.436,-7.271,3.418,1.390,-7.412,3.391,-0.478,0.364,-0.538,53.903
'0:13.910',17.396,1635.896,-22.045,-31.553,58.063,1.363,-7.269,3.405,1.314,-7.374,3.273,-0.459,0.364,-0.559,53.907
'0:13.914',14.415,1624.913,-21.422,-30.169,57.341,1.337,-7.329,3.379,1.314,-7.374,3.312,-0.466,0.362,-0.570,53.911
'0:13.918',14.160,1668.138,-20.215,-27.767,55.797,1.312,-7.449,3.377,1.198,-7.449,3.309,-0.466,0.362,-0.570,53.915
'0:13.922',16.843,1683.500,-19.716,-27.109,55.179,1.310,-7.618,3.338,1.236,-7.604,3.387,-0.454,0.362,-0.595,53.919
'0:13.926',3.109,1702.569,-19.343,-26.864,54.862,1.344,-7.835,3.334,1.236,-7.876,3.384,-0.468,0.362,-0.578,53.923
'0:13.930',2.300,1711.363,-18.942,-26.788,54.740,1.354,-8.052,3.306,1.274,-8.226,3.382,-0.436,0.364,-0.553,53.926
'0:13.934',-0.937,1737.742,-18.519,-26.788,55.010,1.376,-8.269,3.278,1.314,-8.347,3.187,-0.457,0.349,-0.609,53.930
'0:13.938',-2.555,1715.742,-17.746,-27.560,55.358,1.386,-8.474,3.250,1.312,-8.578,3.302,-0.466,0.351,-0.572,53.934
'0:13.941',-0.405,1702.569,-17.189,-28.455,56.006,1.385,-8.619,3.199,1.275,-8.617,3.223,-0.466,0.351,-0.593,53.938
'0:13.945',-13.074,1720.156,-16.616,-29.809,56.563,1.408,-8.729,3.149,1.314,-8.775,3.144,-0.461,0.362,-0.593,53.942
'0:13.949',2.555,1665.949,-16.104,-31.217,57.250,1.444,-8.827,3.100,1.391,-8.817,3.067,-0.454,0.360,-0.565,53.946
'0:13.953',-16.843,1656.414,-15.591,-33.060,57.894,1.503,-8.973,3.074,1.430,-9.051,2.988,-0.464,0.355,-0.611,53.950
'0:13.957',-17.929,1640.275,-15.079,-35.011,58.868,1.526,-9.107,3.011,1.507,-9.170,2.949,-0.447,0.351,-0.584,53.954
'0:13.961',-16.310,1591.930,-14.837,-37.282,59.455,1.586,-9.265,2.973,1.469,-9.288,2.830,-0.445,0.351,-0.643,53.958
'0:13.965',-13.883,1540.654,-14.430,-39.768,60.347,1.633,-9.436,2.934,1.508,-9.523,2.790,-0.463,0.346,-0.603,53.962
'0:13.969',-14.160,1503.291,-14.449,-42.484,61.230,1.704,-9.642,2.895,1.585,-9.641,2.751,-0.463,0.346,-0.603,53.965
'0:13.973',-16.310,1468.118,-14.414,-45.383,62.291,1.739,-9.860,2.855,1.662,-9.954,2.711,-0.459,0.349,-0.611,53.969
'0:13.977',-2.023,1401.480,-14.694,-48.297,63.692,1.785,-10.101,2.864,1.662,-10.186,2.748,-0.447,0.346,-0.586,53.973
'0:13.980',-16.587,1340.669,-14.627,-50.929,64.849,1.819,-10.330,2.860,1.776,-10.341,2.866,-0.454,0.339,-0.630,53.977
'0:13.984',-13.351,1301.824,-14.375,-54.027,66.093,1.866,-10.536,2.869,1.776,-10.574,2.864,-0.457,0.332,-0.609,53.981
'0:13.988',-13.351,1276.185,-14.894,-56.551,67.737,1.937,-10.741,2.890,1.852,-10.730,2.903,-0.443,0.337,-0.668,53.985
'0:13.992',-16.034,1256.410,-14.901,-59.481,68.924,1.960,-10.874,2.888,1.852,-10.926,2.824,-0.456,0.330,-0.645,53.989
'0:13.996',-2.832,1179.495,-14.913,-62.441,70.329,1.984,-10.994,2.899,1.852,-10.963,2.901,-0.456,0.330,-0.645,53.993
'0:14.000',-17.120,1187.547,-14.780,-65.279,71.369,2.019,-11.067,2.910,1.967,-11.120,2.941,-0.454,0.335,-0.620,53.997
'0:14.004',-13.074,1114.270,-14.550,-68.614,72.613,2.019,-11.091,2.934,1.967,-11.082,2.863,-0.454,0.330,-0.622,54.001
'0:14.008',2.832,1135.529,-14.671,-71.842,73.478,2.019,-11.103,2.909,1.928,-11.119,2.941,-0.445,0.326,-0.653,54.005
'0:14.012',-0.937,1081.322,-14.490,-75.307,74.357,2.044,-11.056,2.910,2.006,-11.044,2.864,-0.454,0.317,-0.647,54.008
'0:14.016',-2.555,1043.959,-14.219,-78.221,75.114,2.057,-11.020,2.911,1.967,-11.042,2.942,-0.431,0.319,-0.639,54.012
'0:14.020',-15.778,1051.269,-13.885,-81.357,75.866,2.082,-10.961,2.901,1.967,-11.004,2.903,-0.431,0.319,-0.639,54.016
'0:14.023',-12.265,1073.976,-13.736,-84.004,76.266,2.120,-10.853,2.915,2.083,-10.812,2.867,-0.450,0.303,-0.666,54.020
'0:14.027',-13.074,1073.976,-13.402,-86.742,76.667,2.145,-10.746,2.881,2.083,-10.812,2.907,-0.447,0.303,-0.643,54.024
'0:14.031',-32.493,1063.735,-13.125,-88.800,76.984,2.184,-10.591,2.885,2.122,-10.541,2.870,-0.452,0.307,-0.659,54.028
'0:14.035',-18.206,1068.114,-12.835,-90.850,77.241,2.210,-10.435,2.876,2.161,-10.387,2.833,-0.443,0.300,-0.645,54.032
'0:14.039',-1.491,1084.994,-12.386,-92.380,77.358,2.249,-10.232,2.868,2.199,-10.192,2.914,-0.436,0.277,-0.703,54.036
'0:14.043',1.214,1084.253,-12.148,-93.856,77.454,2.263,-10.052,2.871,2.238,-10.078,2.837,-0.431,0.280,-0.708,54.040
'0:14.047',-12.542,1148.701,-11.845,-94.904,77.545,2.290,-9.860,2.863,2.239,-9.884,2.800,-0.431,0.280,-0.708,54.044
'0:14.051',2.023,1159.719,-11.696,-96.006,77.467,2.304,-9.681,2.866,2.277,-9.690,2.841,-0.422,0.273,-0.705,54.048
'0:14.055',-1.746,1183.874,-11.260,-96.847,77.341,2.343,-9.489,2.882,2.316,-9.496,2.843,-0.447,0.277,-0.697,54.051
'0:14.059',-2.300,1254.926,-10.894,-97.551,77.158,2.381,-9.334,2.850,2.354,-9.343,2.806,-0.442,0.271,-0.670,54.055
'0:14.063',16.310,1307.686,-10.474,-97.780,76.832,2.444,-9.167,2.853,2.393,-9.226,2.807,-0.417,0.275,-0.710,54.059
'0:14.066',3.109,1315.031,-10.060,-98.048,76.384,2.494,-9.073,2.819,2.510,-9.075,2.693,-0.445,0.257,-0.689,54.063
'0:14.070',3.109,1394.877,-9.738,-97.941,75.923,2.558,-8.918,2.811,2.472,-9.037,2.654,-0.445,0.257,-0.689,54.067
'0:14.074',15.225,1418.325,-9.207,-97.528,75.583,2.607,-8.836,2.789,2.548,-8.882,2.696,-0.445,0.257,-0.689,54.071
'0:14.078',43.544,1471.049,-8.956,-97.069,75.362,2.682,-8.742,2.755,2.664,-8.768,2.660,-0.442,0.241,-0.703,54.075
'0:14.082',91.517,1489.377,-8.679,-96.205,75.122,2.757,-8.647,2.758,2.702,-8.767,2.738,-0.428,0.243,-0.728,54.079
'0:14.086',96.117,1527.482,-8.402,-94.942,74.679,2.794,-8.541,2.724,2.780,-8.575,2.702,-0.436,0.236,-0.697,54.083
'0:14.090',85.598,1575.085,-7.988,-93.657,74.413,2.857,-8.459,2.702,2.780,-8.499,2.624,-0.421,0.234,-0.764,54.087
'0:14.094',38.689,1645.431,-7.593,-92.066,74.018,2.919,-8.388,2.680,2.934,-8.425,2.589,-0.433,0.218,-0.741,54.090
'0:14.098',-12.542,1661.534,-7.374,-90.361,73.731,2.993,-8.330,2.658,3.010,-8.346,2.708,-0.433,0.218,-0.741,54.094
'0:14.102',-33.026,1676.190,-7.240,-88.471,73.204,3.067,-8.284,2.636,2.973,-8.269,2.630,-0.426,0.224,-0.712,54.098
'0:14.105',-4.173,1709.880,-7.122,-86.299,72.887,3.128,-8.238,2.625,3.049,-8.231,2.670,-0.426,0.215,-0.716,54.102
'0:14.109',105.273,1736.259,-7.008,-83.629,72.661,3.178,-8.191,2.639,3.088,-8.272,2.593,-0.415,0.224,-0.751,54.106
'0:14.113',184.525,1761.897,-7.087,-78.175,72.352,3.227,-8.192,2.616,3.165,-8.157,2.595,-0.422,0.204,-0.754,54.110
'0:14.117',128.993,1790.467,-7.364,-75.444,72.256,3.240,-8.156,2.616,3.166,-8.235,2.555,-0.401,0.215,-0.737,54.114
'0:14.121',0.128,1843.226,-7.275,-72.285,72.025,3.301,-8.134,2.606,3.128,-8.157,2.555,-0.412,0.193,-0.764,54.118
'0:14.125',-154.886,1819.777,-7.759,-69.555,71.869,3.326,-8.123,2.606,3.204,-8.079,2.635,-0.412,0.193,-0.764,54.122
